varname,term,coef,int,p.value_slope,p.value_int,R2,AICc
TDN,days_since_iceout,0.00046 ± 8.3e-05***,0.022 ± 0.0048***,1.2e-07,1.1e-05,0.1488,-732.4
TDN,forest,0.00072 ± 7.5e-05***,0.019 ± 0.0034***,9e-18,8.3e-08,0.3449,-778.7
TDN,iceout_doy,-0.00055 ± 6.9e-05***,0.15 ± 0.013***,2.4e-13,1.7e-22,0.2648,-758.3
TDN,NH4_dep_2000_2009,0.032 ± 0.0096**,0.022 ± 0.0074**,0.0011,0.0036,0.05897,-714.7
TDN,SWE,-0.00019 ± 3.3e-05***,0.074 ± 0.0055***,4.6e-08,1.5e-28,0.1574,-734.2
TDP,days_since_iceout,1.1e-05 ± 4.5e-06*,0.0014 ± 0.00026***,0.019,3.1e-07,0.03083,-1763
TDP,iceout_doy,-1.1e-05 ± 4e-06**,0.004 ± 0.00075***,0.0057,3.5e-07,0.04288,-1765
TDP,SWE,-5.7e-06 ± 1.8e-06**,0.0028 ± 0.00029***,0.0013,2e-17,0.05742,-1767
Watertemp,days_since_iceout,0.051 ± 0.012***,11 ± 0.69***,3.1e-05,1.5e-33,0.09904,963.7
Watertemp,hydro,-1.4 ± 0.49**,16 ± 1.2***,0.0065,5.1e-30,0.04351,973.8
Watertemp,iceout_doy,-0.088 ± 0.0088***,30 ± 1.7***,5.4e-19,1.2e-40,0.3792,900.9
Watertemp,solar_jas,0.0029 ± 0.0014*,-0.52 ± 6.4,0.034,0.94,0.02665,976.8
Watertemp,SWE,-0.014 ± 0.0048**,15 ± 0.81***,0.0044,4.6e-43,0.04748,973.1
Ca,graywacke,0.032 ± 0.0065***,4.6 ± 0.34***,1.6e-06,1.1e-28,0.1244,969.2
Ca,hydro,-1.6 ± 0.45***,9 ± 1.1***,0.00056,4.7e-15,0.06634,980.5
Ca,iceout_doy,-0.029 ± 0.0099**,11 ± 1.9***,0.0036,2.5e-08,0.04758,984
Ca,SWE,-0.019 ± 0.0043***,8.3 ± 0.72***,2.4e-05,2.1e-23,0.09759,974.5
Cl,Cl_dep_2000_2009,0.015 ± 0.0018***,0.12 ± 0.027***,1e-13,5.4e-06,0.2718,-35.21
Cl,hydro,-0.11 ± 0.028***,0.54 ± 0.064***,1e-04,1.6e-14,0.08296,5.565
Cl,iceout_doy,-0.0017 ± 0.00062**,0.62 ± 0.12***,0.0052,3.4e-07,0.04373,12.98
K,days_since_iceout,4e-04 ± 0.00017*,0.11 ± 0.0098***,0.019,1.3e-22,0.03087,-480.3
K,graywacke,-0.00049 ± 9.9e-05***,0.15 ± 0.0052***,1.5e-06,4.1e-66,0.1241,-498.2
K,iceout_doy,-8e-04 ± 0.00014***,0.28 ± 0.027***,6.1e-08,3.2e-20,0.1549,-504.6
K,SWE,-0.00021 ± 6.7e-05**,0.16 ± 0.011***,0.0024,7.8e-32,0.05141,-484.1
Mg,hydro,-0.11 ± 0.034**,0.64 ± 0.079***,0.0016,6.5e-14,0.05572,78.92
Mg,iceout_doy,-0.0025 ± 0.00074***,0.87 ± 0.14***,0.001,5.1e-09,0.06012,78.09
Mg,SWE,-0.0013 ± 0.00033***,0.6 ± 0.055***,0.00012,1.8e-21,0.08151,74.02
Na,days_since_iceout,0.0022 ± 0.001*,0.65 ± 0.057***,0.026,1.2e-22,0.02788,142.1
Na,hydro,-0.12 ± 0.04**,1 ± 0.093***,0.0037,1.1e-21,0.04722,138.5
Na,iceout_doy,-0.0057 ± 0.00079***,1.8 ± 0.15***,2.4e-11,6.1e-25,0.2259,101.8
Na,SWE,-0.0015 ± 0.00039***,1 ± 0.064***,0.00011,1.7e-34,0.08258,131.8
