"","variable","snowyr","term","val","std.error","pval","AICc","minAICc","AICcdiff"
"67","secchi_value_m","hi","NH4_dep_1990_1999",0.461,0.185,0.0175,500,499,0.648
"68","secchi_value_m","lo","NH4_dep_1990_1999",-1.04,0.182,1.32e-06,500,499,0.648
"69","secchi_value_m","mid","NH4_dep_1990_1999",0.0765,0.065,0.246,500,499,0.648
"70","secchi_value_m","hi","SO4_dep_1990_1999",0.0576,0.0221,0.0132,500,499,0.872
"71","secchi_value_m","lo","SO4_dep_1990_1999",-0.124,0.0218,1.6e-06,500,499,0.872
"72","secchi_value_m","mid","SO4_dep_1990_1999",0.0087,0.0078,0.272,500,499,0.872
"73","secchi_value_m","hi","SO4_dep_1985_1989",0.0567,0.022,0.0141,500,499,0.946
"74","secchi_value_m","lo","SO4_dep_1985_1989",-0.124,0.0218,1.59e-06,500,499,0.946
"75","secchi_value_m","mid","SO4_dep_1985_1989",0.00878,0.00781,0.268,500,499,0.946
"76","secchi_value_m","hi","N_dep_1985_1989",0.257,0.106,0.0205,500,499,1.11
"77","secchi_value_m","lo","N_dep_1985_1989",-0.602,0.105,1.42e-06,500,499,1.11
"78","secchi_value_m","mid","N_dep_1985_1989",0.0451,0.0379,0.241,500,499,1.11
"79","secchi_value_m","hi","N_dep_1990_1999",0.188,0.0801,0.0239,501,499,1.86
"80","secchi_value_m","lo","N_dep_1990_1999",-0.448,0.0792,1.67e-06,501,499,1.86
"81","secchi_value_m","mid","N_dep_1990_1999",0.0339,0.0284,0.24,501,499,1.86
"82","SO4","hi","SWE_May_snotel",0.000587,0.000891,0.514,573,573,0
"83","SO4","lo","SWE_May_snotel",-0.0087,0.0036,0.0202,573,573,0
"84","SO4","mid","SWE_May_snotel",-0.000264,0.000423,0.533,573,573,0
"85","SpCond_top2m","hi","SWE_May_snotel",0.00131,0.000902,0.153,526,526,0
"86","SpCond_top2m","lo","SWE_May_snotel",0.0062,0.00365,0.0965,526,526,0
"87","SpCond_top2m","mid","SWE_May_snotel",-0.000549,0.000452,0.226,526,526,0
"88","Total N","hi","N_dep_2000_2009",-0.434,0.101,0.000113,544,544,0
"89","Total N","lo","N_dep_2000_2009",0.727,0.101,1.09e-08,544,544,0
"90","Total N","mid","N_dep_2000_2009",-0.0351,0.0351,0.323,544,544,0
"91","Total N","hi","NH4_dep_2000_2009",-1.01,0.233,9.98e-05,544,544,0.731
"92","Total N","lo","NH4_dep_2000_2009",1.65,0.233,1.44e-08,544,544,0.731
"93","Total N","mid","NH4_dep_2000_2009",-0.0773,0.0808,0.345,544,544,0.731
"94","Total N","hi","solar_jas",-0.000156,3.85e-05,0.000228,545,544,1.08
"95","Total N","lo","solar_jas",0.000277,3.85e-05,1.02e-08,545,544,1.08
"96","Total N","mid","solar_jas",-1.43e-05,1.32e-05,0.286,545,544,1.08
"97","Total N","hi","NO3_dep_2000_2009",-0.167,0.0394,0.000134,545,544,1.61
"98","Total N","lo","NO3_dep_2000_2009",0.278,0.0394,1.57e-08,545,544,1.61
"99","Total N","mid","NO3_dep_2000_2009",-0.0135,0.0137,0.33,545,544,1.61
"100","Total N","hi","NH4_dep_1985_2015",-0.82,0.193,0.000122,546,544,1.99
"101","Total N","hi","N_dep_1985_2015",-0.364,0.0868,0.000148,546,544,1.99
"102","Total N","lo","NH4_dep_1985_2015",1.35,0.193,1.84e-08,546,544,1.99
"103","Total N","lo","N_dep_1985_2015",0.611,0.0868,1.65e-08,546,544,1.99
"104","Total N","mid","NH4_dep_1985_2015",-0.0639,0.0669,0.345,546,544,1.99
"105","Total N","mid","N_dep_1985_2015",-0.0296,0.03,0.33,546,544,1.99
"106","Total P","hi","SWE_May_snotel",-0.00256,0.000871,0.00536,563,563,0
"107","Total P","lo","SWE_May_snotel",-0.00695,0.00352,0.055,563,563,0
"108","Total P","mid","SWE_May_snotel",0.000169,0.000413,0.683,563,563,0
