"variable","model","term","val","se","pval","sigma","logLik","AIC","BIC","nparam","nobs","AICc","AICcdiff"
"SO4",22,"(Intercept)",1.36,0.354,0.000176,1.23,-387,784,801,3,21,781,2
"SO4",22,"snowyrhi:SWE_May",0.000765,0.0015,0.612,1.23,-387,784,801,3,21,781,2
"SO4",22,"snowyrlo:SWE_May",-0.00723,0.00434,0.0976,1.23,-387,784,801,3,21,781,2
"SO4",19,"(Intercept)",1.33,0.351,0.000195,1.24,-387,784,801,3,21,782,2
"SO4",19,"snowyrhi:Volume_m3",3.03e-06,2.33e-06,0.194,1.24,-387,784,801,3,21,782,2
"SO4",19,"snowyrlo:Volume_m3",-2.07e-06,2.33e-06,0.376,1.24,-387,784,801,3,21,782,2
"SO4",212,"(Intercept)",1.31,0.353,0.000275,1.21,-383,779,803,5,21,779,0
"SO4",212,"snowyrhi:Depth_mean_m",0.159,0.095,0.0967,1.21,-383,779,803,5,21,779,0
"SO4",212,"snowyrhi:Watershed_area_ha",-0.00556,0.00511,0.278,1.21,-383,779,803,5,21,779,0
"SO4",212,"snowyrlo:Depth_mean_m",-0.201,0.095,0.0354,1.21,-383,779,803,5,21,779,0
"SO4",212,"snowyrlo:Watershed_area_ha",0.0146,0.00511,0.00472,1.21,-383,779,803,5,21,779,0
"SpCond_top2m",0,"(Intercept)",40.7,8.28,2e-06,64.3,-1150,2310,2320,1,21,2310,0
"Total N",1,"(Intercept)",0.0454,0.00534,4.48e-15,0.0194,523,-1040,-1020,3,21,-1040,2
"Total N",1,"snowyrhi",-0.0192,0.00451,3.28e-05,0.0194,523,-1040,-1020,3,21,-1040,2
"Total N",1,"snowyrlo",0.028,0.00451,3.33e-09,0.0194,523,-1040,-1020,3,21,-1040,2
"Total N",21,"(Intercept)",0.0455,0.00534,4.22e-15,0.0194,523,-1040,-1020,3,21,-1040,2
"Total N",21,"snowyrhi:Elevation_m",-1.24e-05,2.87e-06,2.49e-05,0.0194,523,-1040,-1020,3,21,-1040,2
"Total N",21,"snowyrlo:Elevation_m",1.76e-05,2.87e-06,4.31e-09,0.0194,523,-1040,-1020,3,21,-1040,2
"Total N",213,"(Intercept)",0.0455,0.00536,5.65e-15,0.019,527,-1040,-1020,5,21,-1040,0
"Total N",213,"snowyrhi:Depth_mean_m",0.00498,0.00258,0.0553,0.019,527,-1040,-1020,5,21,-1040,0
"Total N",213,"snowyrhi:Elevation_m",-2.34e-05,6.38e-06,0.000313,0.019,527,-1040,-1020,5,21,-1040,0
"Total N",213,"snowyrlo:Depth_mean_m",-0.00488,0.00258,0.0603,0.019,527,-1040,-1020,5,21,-1040,0
"Total N",213,"snowyrlo:Elevation_m",2.84e-05,6.38e-06,1.39e-05,0.019,527,-1040,-1020,5,21,-1040,0
"Total P",0,"(Intercept)",0.00244,0.00031,2.36e-13,0.00356,919,-1830,-1820,1,21,-1840,1
"Total P",1,"(Intercept)",0.00267,0.000331,6.37e-14,0.00351,922,-1830,-1820,3,21,-1840,0
"Total P",1,"snowyrhi",-0.00186,0.000816,0.0234,0.00351,922,-1830,-1820,3,21,-1840,0
"Total P",1,"snowyrlo",-0.000587,0.000816,0.473,0.00351,922,-1830,-1820,3,21,-1840,0
"Total P",21,"(Intercept)",0.00268,0.000333,7.22e-14,0.0035,922,-1830,-1820,3,21,-1840,0
"Total P",21,"snowyrhi:Elevation_m",-1.21e-06,5.17e-07,0.0202,0.0035,922,-1830,-1820,3,21,-1840,0
"Total P",21,"snowyrlo:Elevation_m",-4.3e-07,5.17e-07,0.407,0.0035,922,-1830,-1820,3,21,-1840,0
"Total P",22,"(Intercept)",0.00266,0.000321,2.05e-14,0.00351,922,-1830,-1820,3,21,-1840,0
"Total P",22,"snowyrhi:SWE_May",-8.79e-06,4.26e-06,0.0402,0.00351,922,-1830,-1820,3,21,-1840,0
"Total P",22,"snowyrlo:SWE_May",-1.68e-05,1.21e-05,0.166,0.00351,922,-1830,-1820,3,21,-1840,0
"Total P",18,"(Intercept)",0.00261,0.000325,8.37e-14,0.00353,921,-1830,-1810,3,21,-1830,2
"Total P",18,"snowyrhi:Depth_mean_m",-0.000407,0.00021,0.0541,0.00353,921,-1830,-1810,3,21,-1830,2
"Total P",18,"snowyrlo:Depth_mean_m",-9.89e-05,0.00021,0.638,0.00353,921,-1830,-1810,3,21,-1830,2
