,Temperature.air@OLYM_LaCrosse,Temperature.air@OLYM_LaCrosse,Temperature.air@OLYM_LaCrosse,Temperature.air@OLYM_LaCrosse
09/23/2010 10:00:00,4.168,,,1
09/23/2010 11:00:00,4.324,,,1
09/23/2010 12:00:00,4.298,,,1
09/23/2010 13:00:00,4.115,,,1
09/23/2010 14:00:00,4.298,,,1
09/23/2010 15:00:00,4.376,,,1
09/23/2010 16:00:00,4.74,,,1
09/23/2010 17:00:00,4.688,,,1
09/23/2010 18:00:00,4.506,,,1
09/23/2010 19:00:00,4.063,,,1
09/23/2010 20:00:00,4.141,,,1
09/23/2010 21:00:00,3.906,,,1
09/23/2010 22:00:00,3.985,,,1
09/23/2010 23:00:00,4.272,,,1
09/24/2010 00:00:00,4.376,,,1
09/24/2010 01:00:00,4.272,,,1
09/24/2010 02:00:00,4.168,,,1
09/24/2010 03:00:00,3.036,,,1
09/24/2010 04:00:00,4.168,,,1
09/24/2010 05:00:00,4.532,,,1
09/24/2010 06:00:00,4.766,,,1
09/24/2010 07:00:00,5.024,,,1
09/24/2010 08:00:00,4.895,,,1
09/24/2010 09:00:00,5.334,,,1
09/24/2010 10:00:00,5.488,,,1
09/24/2010 11:00:00,5.719,,,1
09/24/2010 12:00:00,6.839,,,1
09/24/2010 13:00:00,7.393,,,1
09/24/2010 14:00:00,7.167,,,1
09/24/2010 15:00:00,7.167,,,1
09/24/2010 16:00:00,6.611,,,1
09/24/2010 17:00:00,6.026,,,1
09/24/2010 18:00:00,6.408,,,1
09/24/2010 19:00:00,7.67,,,1
09/24/2010 20:00:00,8.17,,,1
09/24/2010 21:00:00,8.195,,,1
09/24/2010 22:00:00,7.72,,,1
09/24/2010 23:00:00,8.643,,,1
09/25/2010 00:00:00,9.089,,,1
09/25/2010 01:00:00,9.287,,,1
09/25/2010 02:00:00,8.519,,,1
09/25/2010 03:00:00,8.045,,,1
09/25/2010 04:00:00,7.469,,,1
09/25/2010 05:00:00,8.27,,,1
09/25/2010 06:00:00,8.369,,,1
09/25/2010 07:00:00,7.945,,,1
09/25/2010 08:00:00,8.394,,,1
09/25/2010 09:00:00,9.287,,,1
09/25/2010 10:00:00,10.932,,,1
09/25/2010 11:00:00,12.243,,,1
09/25/2010 12:00:00,10.81,,,1
09/25/2010 13:00:00,11.565,,,1
09/25/2010 14:00:00,10.907,,,1
09/25/2010 15:00:00,10.761,,,1
09/25/2010 16:00:00,10.345,,,1
09/25/2010 17:00:00,10.394,,,1
09/25/2010 18:00:00,9.485,,,1
09/25/2010 19:00:00,9.114,,,1
09/25/2010 20:00:00,9.287,,,1
09/25/2010 21:00:00,9.163,,,1
09/25/2010 22:00:00,9.336,,,1
09/25/2010 23:00:00,9.262,,,1
09/26/2010 00:00:00,9.163,,,1
09/26/2010 01:00:00,9.064,,,1
09/26/2010 02:00:00,8.767,,,1
09/26/2010 03:00:00,8.99,,,1
09/26/2010 04:00:00,8.916,,,1
09/26/2010 05:00:00,8.693,,,1
09/26/2010 06:00:00,8.618,,,1
09/26/2010 07:00:00,8.618,,,1
09/26/2010 08:00:00,8.668,,,1
09/26/2010 09:00:00,9.361,,,1
09/26/2010 10:00:00,9.731,,,1
09/26/2010 11:00:00,10.051,,,1
09/26/2010 12:00:00,10.712,,,1
09/26/2010 13:00:00,9.977,,,1
09/26/2010 14:00:00,10.663,,,1
09/26/2010 15:00:00,9.928,,,1
09/26/2010 16:00:00,9.78,,,1
09/26/2010 17:00:00,9.361,,,1
09/26/2010 18:00:00,9.558,,,1
09/26/2010 19:00:00,9.632,,,1
09/26/2010 20:00:00,9.657,,,1
09/26/2010 21:00:00,9.78,,,1
09/26/2010 22:00:00,9.952,,,1
09/26/2010 23:00:00,10.075,,,1
09/27/2010 00:00:00,9.805,,,1
09/27/2010 01:00:00,8.99,,,1
09/27/2010 02:00:00,8.668,,,1
09/27/2010 03:00:00,8.817,,,1
09/27/2010 04:00:00,9.015,,,1
09/27/2010 05:00:00,9.312,,,1
09/27/2010 06:00:00,9.854,,,1
09/27/2010 07:00:00,10.565,,,1
09/27/2010 08:00:00,10.785,,,1
09/27/2010 09:00:00,11.005,,,1
09/27/2010 10:00:00,11.589,,,1
09/27/2010 11:00:00,11.467,,,1
09/27/2010 12:00:00,12.025,,,1
09/27/2010 13:00:00,12.025,,,1
09/27/2010 14:00:00,12.389,,,1
09/27/2010 15:00:00,12.654,,,1
09/27/2010 16:00:00,12.292,,,1
09/27/2010 17:00:00,12.558,,,1
09/27/2010 18:00:00,12.389,,,1
09/27/2010 19:00:00,12.606,,,1
09/27/2010 20:00:00,12.219,,,1
09/27/2010 21:00:00,12.292,,,1
09/27/2010 22:00:00,12.485,,,1
09/27/2010 23:00:00,12.775,,,1
09/28/2010 00:00:00,12.944,,,1
09/28/2010 01:00:00,12.703,,,1
09/28/2010 02:00:00,12.534,,,1
09/28/2010 03:00:00,12.074,,,1
09/28/2010 04:00:00,11.807,,,1
09/28/2010 05:00:00,11.759,,,1
09/28/2010 06:00:00,11.321,,,1
09/28/2010 07:00:00,10.907,,,1
09/28/2010 08:00:00,10.858,,,1
09/28/2010 09:00:00,10.785,,,1
09/28/2010 10:00:00,10.516,,,1
09/28/2010 11:00:00,10.345,,,1
09/28/2010 12:00:00,10.467,,,1
09/28/2010 13:00:00,10.614,,,1
09/28/2010 14:00:00,10.198,,,1
09/28/2010 15:00:00,10.32,,,1
09/28/2010 16:00:00,10.149,,,1
09/28/2010 17:00:00,9.78,,,1
09/28/2010 18:00:00,9.089,,,1
09/28/2010 19:00:00,8.494,,,1
09/28/2010 20:00:00,7.318,,,1
09/28/2010 21:00:00,7.066,,,1
09/28/2010 22:00:00,5.924,,,1
09/28/2010 23:00:00,5.924,,,1
09/29/2010 00:00:00,4.089,,,1
09/29/2010 01:00:00,2.557,,,1
09/29/2010 02:00:00,1.967,,,1
09/29/2010 03:00:00,2.717,,,1
09/29/2010 04:00:00,3.958,,,1
09/29/2010 05:00:00,5.77,,,1
09/29/2010 06:00:00,6.128,,,1
09/29/2010 07:00:00,5.334,,,1
09/29/2010 08:00:00,5.642,,,1
09/29/2010 09:00:00,5.514,,,1
09/29/2010 10:00:00,10.785,,,1
09/29/2010 11:00:00,13.69,,,1
09/29/2010 12:00:00,14.649,,,1
09/29/2010 13:00:00,15.438,,,1
09/29/2010 14:00:00,15.151,,,1
09/29/2010 15:00:00,15.939,,,1
09/29/2010 16:00:00,20.222,,,1
09/29/2010 17:00:00,14.721,,,1
09/29/2010 18:00:00,10.687,,,1
09/29/2010 19:00:00,9.854,,,1
09/29/2010 20:00:00,8.965,,,1
09/29/2010 21:00:00,8.817,,,1
09/29/2010 22:00:00,9.089,,,1
09/29/2010 23:00:00,9.015,,,1
09/30/2010 00:00:00,7.519,,,1
09/30/2010 01:00:00,7.419,,,1
09/30/2010 02:00:00,8.195,,,1
09/30/2010 03:00:00,7.92,,,1
09/30/2010 04:00:00,8.965,,,1
09/30/2010 05:00:00,11.759,,,1
09/30/2010 06:00:00,11.224,,,1
09/30/2010 07:00:00,8.941,,,1
09/30/2010 08:00:00,8.866,,,1
09/30/2010 09:00:00,9.756,,,1
09/30/2010 10:00:00,14.002,,,1
09/30/2010 11:00:00,15.843,,,1
09/30/2010 12:00:00,16.129,,,1
09/30/2010 13:00:00,16.249,,,1
09/30/2010 14:00:00,16.892,,,1
09/30/2010 15:00:00,17.463,,,1
09/30/2010 16:00:00,19.984,,,1
09/30/2010 17:00:00,17.034,,,1
09/30/2010 18:00:00,13.209,,,1
09/30/2010 19:00:00,11.807,,,1
09/30/2010 20:00:00,11.565,,,1
09/30/2010 21:00:00,12.195,,,1
09/30/2010 22:00:00,11.856,,,1
09/30/2010 23:00:00,11.977,,,1
10/01/2010 00:00:00,11.929,,,1
10/01/2010 01:00:00,12.05,,,1
10/01/2010 02:00:00,12.05,,,1
10/01/2010 03:00:00,11.662,,,1
10/01/2010 04:00:00,11.856,,,1
10/01/2010 05:00:00,11.929,,,1
10/01/2010 06:00:00,11.443,,,1
10/01/2010 07:00:00,12.364,,,1
10/01/2010 08:00:00,11.273,,,1
10/01/2010 09:00:00,14.242,,,1
10/01/2010 10:00:00,15.676,,,1
10/01/2010 11:00:00,15.963,,,1
10/01/2010 12:00:00,16.463,,,1
10/01/2010 13:00:00,16.463,,,1
10/01/2010 14:00:00,17.13,,,1
10/01/2010 15:00:00,15.509,,,1
10/01/2010 16:00:00,18.604,,,1
10/01/2010 17:00:00,12.195,,,1
10/01/2010 18:00:00,9.238,,,1
10/01/2010 19:00:00,7.494,,,1
10/01/2010 20:00:00,9.657,,,1
10/01/2010 21:00:00,10.467,,,1
10/01/2010 22:00:00,9.361,,,1
10/01/2010 23:00:00,9.386,,,1
10/02/2010 00:00:00,9.78,,,1
10/02/2010 01:00:00,10.467,,,1
10/02/2010 02:00:00,10.026,,,1
10/02/2010 03:00:00,9.336,,,1
10/02/2010 04:00:00,9.04,,,1
10/02/2010 05:00:00,7.87,,,1
10/02/2010 06:00:00,7.87,,,1
10/02/2010 07:00:00,8.22,,,1
10/02/2010 08:00:00,7.544,,,1
10/02/2010 09:00:00,9.04,,,1
10/02/2010 10:00:00,11.273,,,1
10/02/2010 11:00:00,14.026,,,1
10/02/2010 12:00:00,15.318,,,1
10/02/2010 13:00:00,14.721,,,1
10/02/2010 14:00:00,13.329,,,1
10/02/2010 15:00:00,13.546,,,1
10/02/2010 16:00:00,16.272,,,1
10/02/2010 17:00:00,12.727,,,1
10/02/2010 18:00:00,11.175,,,1
10/02/2010 19:00:00,9.04,,,1
10/02/2010 20:00:00,8.095,,,1
10/02/2010 21:00:00,7.444,,,1
10/02/2010 22:00:00,7.343,,,1
10/02/2010 23:00:00,7.67,,,1
10/03/2010 00:00:00,7.066,,,1
10/03/2010 01:00:00,6.965,,,1
10/03/2010 02:00:00,6.128,,,1
10/03/2010 03:00:00,6.204,,,1
10/03/2010 04:00:00,7.091,,,1
10/03/2010 05:00:00,4.921,,,1
10/03/2010 06:00:00,4.973,,,1
10/03/2010 07:00:00,4.506,,,1
10/03/2010 08:00:00,4.636,,,1
10/03/2010 09:00:00,5.488,,,1
10/03/2010 10:00:00,6.788,,,1
10/03/2010 11:00:00,6.94,,,1
10/03/2010 12:00:00,5.898,,,1
10/03/2010 13:00:00,5.924,,,1
10/03/2010 14:00:00,6.179,,,1
10/03/2010 15:00:00,5.796,,,1
10/03/2010 16:00:00,5.796,,,1
10/03/2010 17:00:00,5.591,,,1
10/03/2010 18:00:00,4.818,,,1
10/03/2010 19:00:00,4.558,,,1
10/03/2010 20:00:00,4.298,,,1
10/03/2010 21:00:00,4.194,,,1
10/03/2010 22:00:00,4.22,,,1
10/03/2010 23:00:00,3.854,,,1
10/04/2010 00:00:00,3.932,,,1
10/04/2010 01:00:00,3.827,,,1
10/04/2010 02:00:00,3.512,,,1
10/04/2010 03:00:00,2.343,,,1
10/04/2010 04:00:00,1.507,,,1
10/04/2010 05:00:00,0.77,,,1
10/04/2010 06:00:00,2.236,,,1
10/04/2010 07:00:00,1.071,,,1
10/04/2010 08:00:00,1.751,,,1
10/04/2010 09:00:00,2.503,,,1
10/04/2010 10:00:00,3.274,,,1
10/04/2010 11:00:00,4.089,,,1
10/04/2010 12:00:00,4.869,,,1
10/04/2010 13:00:00,5.102,,,1
10/04/2010 14:00:00,6.763,,,1
10/04/2010 15:00:00,5.77,,,1
10/04/2010 16:00:00,4.792,,,1
10/04/2010 17:00:00,4.428,,,1
10/04/2010 18:00:00,4.454,,,1
10/04/2010 19:00:00,3.854,,,1
10/04/2010 20:00:00,3.538,,,1
10/04/2010 21:00:00,3.195,,,1
10/04/2010 22:00:00,2.77,,,1
10/04/2010 23:00:00,2.236,,,1
10/05/2010 00:00:00,1.126,,,1
10/05/2010 01:00:00,0.495,,,1
10/05/2010 02:00:00,0.989,,,1
10/05/2010 03:00:00,1.697,,,1
10/05/2010 04:00:00,0.19,,,1
10/05/2010 05:00:00,1.805,,,1
10/05/2010 06:00:00,0.825,,,1
10/05/2010 07:00:00,0.742,,,1
10/05/2010 08:00:00,1.507,,,1
10/05/2010 09:00:00,2.823,,,1
10/05/2010 10:00:00,5.872,,,1
10/05/2010 11:00:00,8.668,,,1
10/05/2010 12:00:00,10.443,,,1
10/05/2010 13:00:00,10.222,,,1
10/05/2010 14:00:00,11.151,,,1
10/05/2010 15:00:00,11.516,,,1
10/05/2010 16:00:00,12.219,,,1
10/05/2010 17:00:00,11.394,,,1
10/05/2010 18:00:00,9.015,,,1
10/05/2010 19:00:00,7.419,,,1
10/05/2010 20:00:00,7.015,,,1
10/05/2010 21:00:00,6.535,,,1
10/05/2010 22:00:00,6.611,,,1
10/05/2010 23:00:00,6.23,,,1
10/06/2010 00:00:00,7.116,,,1
10/06/2010 01:00:00,8.07,,,1
10/06/2010 02:00:00,7.167,,,1
10/06/2010 03:00:00,9.435,,,1
10/06/2010 04:00:00,7.695,,,1
10/06/2010 05:00:00,7.92,,,1
10/06/2010 06:00:00,6.788,,,1
10/06/2010 07:00:00,7.217,,,1
10/06/2010 08:00:00,6.864,,,1
10/06/2010 09:00:00,8.07,,,1
10/06/2010 10:00:00,11.783,,,1
10/06/2010 11:00:00,14.649,,,1
10/06/2010 12:00:00,14.816,,,1
10/06/2010 13:00:00,14.697,,,1
10/06/2010 14:00:00,15.39,,,1
10/06/2010 15:00:00,16.32,,,1
10/06/2010 16:00:00,18.485,,,1
10/06/2010 17:00:00,13.93,,,1
10/06/2010 18:00:00,11.734,,,1
