,Temperature.air@OLYM_Gladys,Temperature.air@OLYM_Gladys,Temperature.air@OLYM_Gladys,Temperature.air@OLYM_Gladys
10/06/2009 08:15:36,6.408,,,1
10/06/2009 09:15:36,7.268,,,1
10/06/2009 10:15:36,7.544,,,1
10/06/2009 11:15:36,7.619,,,1
10/06/2009 12:15:36,9.952,,,1
10/06/2009 13:15:36,10.59,,,1
10/06/2009 14:15:36,13.497,,,1
10/06/2009 15:15:36,11.734,,,1
10/06/2009 16:15:36,11.734,,,1
10/06/2009 17:15:36,11.053,,,1
10/06/2009 18:15:36,7.67,,,1
10/06/2009 19:15:36,6.051,,,1
10/06/2009 20:15:36,4.35,,,1
10/06/2009 21:15:36,3.301,,,1
10/06/2009 22:15:36,2.423,,,1
10/06/2009 23:15:36,2.128,,,1
10/07/2009 00:15:36,1.67,,,1
10/07/2009 01:15:36,1.289,,,1
10/07/2009 02:15:36,1.153,,,1
10/07/2009 03:15:36,3.932,,,1
10/07/2009 04:15:36,4.532,,,1
10/07/2009 05:15:36,4.532,,,1
10/07/2009 06:15:36,4.298,,,1
10/07/2009 07:15:36,1.805,,,1
10/07/2009 08:15:36,1.425,,,1
10/07/2009 09:15:36,2.396,,,1
10/07/2009 10:15:36,3.564,,,1
10/07/2009 11:15:36,3.775,,,1
10/07/2009 12:15:36,6.128,,,1
10/07/2009 13:15:36,7.97,,,1
10/07/2009 14:15:36,11.467,,,1
10/07/2009 15:15:36,9.312,,,1
10/07/2009 16:15:36,9.46,,,1
10/07/2009 17:15:36,8.27,,,1
10/07/2009 18:15:36,4.272,,,1
10/07/2009 19:15:36,2.45,,,1
10/07/2009 20:15:36,2.262,,,1
10/07/2009 21:15:36,1.94,,,1
10/07/2009 22:15:36,1.507,,,1
10/07/2009 23:15:36,1.398,,,1
10/08/2009 00:15:36,0.934,,,1
10/08/2009 01:15:36,0.742,,,1
10/08/2009 02:15:36,0.66,,,1
10/08/2009 03:15:36,0.356,,,1
10/08/2009 04:15:36,0.079,,,1
10/08/2009 05:15:36,3.459,,,1
10/08/2009 06:15:36,1.371,,,1
10/08/2009 07:15:36,1.805,,,1
10/08/2009 08:15:36,3.406,,,1
10/08/2009 09:15:36,3.749,,,1
10/08/2009 10:15:36,4.61,,,1
10/08/2009 11:15:36,5.128,,,1
10/08/2009 12:15:36,6.687,,,1
10/08/2009 13:15:36,8.22,,,1
10/08/2009 14:15:36,11.005,,,1
10/08/2009 15:15:36,8.668,,,1
10/08/2009 16:15:36,8.369,,,1
10/08/2009 17:15:36,8.145,,,1
10/08/2009 18:15:36,5.308,,,1
10/08/2009 19:15:36,3.854,,,1
10/08/2009 20:15:36,4.115,,,1
10/08/2009 21:15:36,2.877,,,1
10/08/2009 22:15:36,3.168,,,1
10/08/2009 23:15:36,1.994,,,1
10/09/2009 00:15:36,1.588,,,1
10/09/2009 01:15:36,1.099,,,1
10/09/2009 02:15:36,3.089,,,1
10/09/2009 03:15:36,3.354,,,1
10/09/2009 04:15:36,2.557,,,1
10/09/2009 05:15:36,2.637,,,1
10/09/2009 06:15:36,1.724,,,1
10/09/2009 07:15:36,1.235,,,1
10/09/2009 08:15:36,1.697,,,1
10/09/2009 09:15:36,1.017,,,1
10/09/2009 10:15:36,0.907,,,1
10/09/2009 11:15:36,1.913,,,1
10/09/2009 12:15:36,3.643,,,1
10/09/2009 13:15:36,6.763,,,1
10/09/2009 14:15:36,8.419,,,1
10/09/2009 15:15:36,7.695,,,1
10/09/2009 16:15:36,6.788,,,1
10/09/2009 17:15:36,7.268,,,1
10/09/2009 18:15:36,4.688,,,1
10/09/2009 19:15:36,3.67,,,1
10/09/2009 20:15:36,2.423,,,1
10/09/2009 21:15:36,2.074,,,1
10/09/2009 22:15:36,2.316,,,1
10/09/2009 23:15:36,2.047,,,1
10/10/2009 00:15:36,1.561,,,1
10/10/2009 01:15:36,2.37,,,1
10/10/2009 02:15:36,2.047,,,1
10/10/2009 03:15:36,2.423,,,1
10/10/2009 04:15:36,2.209,,,1
10/10/2009 05:15:36,2.047,,,1
10/10/2009 06:15:36,1.588,,,1
10/10/2009 07:15:36,1.044,,,1
10/10/2009 08:15:36,0.051,,,1
10/10/2009 09:15:36,2.128,,,1
10/10/2009 10:15:36,0.356,,,1
10/10/2009 11:15:36,0.742,,,1
10/10/2009 12:15:36,1.588,,,1
10/10/2009 13:15:36,2.77,,,1
10/10/2009 14:15:36,2.744,,,1
10/10/2009 15:15:36,2.396,,,1
10/10/2009 16:15:36,1.561,,,1
10/10/2009 17:15:36,0.495,,,1
10/10/2009 18:15:36,0.051,,,1
10/10/2009 19:15:36,-0.199,,,1
10/10/2009 20:15:36,-0.591,,,1
10/10/2009 21:15:36,-0.845,,,1
10/10/2009 22:15:36,-2.044,,,1
10/10/2009 23:15:36,-2.508,,,1
10/11/2009 00:15:36,-3.212,,,1
10/11/2009 01:15:36,-3.419,,,1
10/11/2009 02:15:36,-4.287,,,1
10/11/2009 03:15:36,-4.712,,,1
10/11/2009 04:15:36,-4.651,,,1
10/11/2009 05:15:36,-3.986,,,1
10/11/2009 06:15:36,-3.896,,,1
10/11/2009 07:15:36,-4.136,,,1
10/11/2009 08:15:36,-3.956,,,1
10/11/2009 09:15:36,-3.153,,,1
10/11/2009 10:15:36,-2.449,,,1
10/11/2009 11:15:36,-2.13,,,1
10/11/2009 12:15:36,-0.591,,,1
10/11/2009 13:15:36,1.697,,,1
10/11/2009 14:15:36,3.168,,,1
10/11/2009 15:15:36,3.195,,,1
10/11/2009 16:15:36,0.934,,,1
10/11/2009 17:15:36,-0.395,,,1
10/11/2009 18:15:36,-1.412,,,1
10/11/2009 19:15:36,-1.384,,,1
10/11/2009 20:15:36,-1.584,,,1
10/11/2009 21:15:36,-0.929,,,1
10/11/2009 22:15:36,-1.071,,,1
10/11/2009 23:15:36,-1.469,,,1
10/12/2009 00:15:36,-1.698,,,1
10/12/2009 01:15:36,-2.478,,,1
10/12/2009 02:15:36,-3.241,,,1
10/12/2009 03:15:36,-3.005,,,1
10/12/2009 04:15:36,-2.946,,,1
10/12/2009 05:15:36,-1.986,,,1
10/12/2009 06:15:36,-1.612,,,1
10/12/2009 07:15:36,-1.928,,,1
10/12/2009 08:15:36,-1.727,,,1
10/12/2009 09:15:36,-1.698,,,1
10/12/2009 10:15:36,-0.873,,,1
10/12/2009 11:15:36,-0.958,,,1
10/12/2009 12:15:36,-0.591,,,1
10/12/2009 13:15:36,-0.563,,,1
10/12/2009 14:15:36,-1.184,,,1
10/12/2009 15:15:36,-0.675,,,1
10/12/2009 16:15:36,-1.071,,,1
10/12/2009 17:15:36,-1.612,,,1
10/12/2009 18:15:36,-1.986,,,1
10/12/2009 19:15:36,-2.391,,,1
10/12/2009 20:15:36,-2.13,,,1
10/12/2009 21:15:36,-2.044,,,1
10/12/2009 22:15:36,-1.099,,,1
10/12/2009 23:15:36,-0.087,,,1
10/13/2009 00:15:36,0.687,,,1
10/13/2009 01:15:36,0.989,,,1
10/13/2009 02:15:36,1.235,,,1
10/13/2009 03:15:36,0.934,,,1
10/13/2009 04:15:36,1.371,,,1
10/13/2009 05:15:36,1.805,,,1
10/13/2009 06:15:36,2.37,,,1
10/13/2009 07:15:36,2.209,,,1
10/13/2009 08:15:36,1.371,,,1
10/13/2009 09:15:36,0.907,,,1
10/13/2009 10:15:36,1.071,,,1
10/13/2009 11:15:36,1.099,,,1
10/13/2009 12:15:36,0.687,,,1
10/13/2009 13:15:36,1.778,,,1
10/13/2009 14:15:36,1.859,,,1
10/13/2009 15:15:36,2.37,,,1
10/13/2009 16:15:36,2.877,,,1
10/13/2009 17:15:36,2.423,,,1
10/13/2009 18:15:36,2.209,,,1
10/13/2009 19:15:36,2.289,,,1
10/13/2009 20:15:36,1.967,,,1
10/13/2009 21:15:36,1.643,,,1
10/13/2009 22:15:36,1.48,,,1
10/13/2009 23:15:36,2.93,,,1
10/14/2009 00:15:36,3.089,,,1
10/14/2009 01:15:36,2.584,,,1
10/14/2009 02:15:36,2.85,,,1
10/14/2009 03:15:36,2.45,,,1
10/14/2009 04:15:36,2.717,,,1
10/14/2009 05:15:36,2.664,,,1
10/14/2009 06:15:36,3.485,,,1
10/14/2009 07:15:36,3.089,,,1
10/14/2009 08:15:36,2.584,,,1
10/14/2009 09:15:36,2.717,,,1
10/14/2009 10:15:36,2.236,,,1
10/14/2009 11:15:36,2.61,,,1
10/14/2009 12:15:36,3.38,,,1
10/14/2009 13:15:36,3.301,,,1
10/14/2009 14:15:36,4.063,,,1
10/14/2009 15:15:36,3.301,,,1
10/14/2009 16:15:36,2.637,,,1
10/14/2009 17:15:36,2.236,,,1
10/14/2009 18:15:36,1.507,,,1
10/14/2009 19:15:36,0.852,,,1
10/14/2009 20:15:36,0.495,,,1
10/14/2009 21:15:36,0.825,,,1
10/14/2009 22:15:36,0.989,,,1
10/14/2009 23:15:36,1.153,,,1
10/15/2009 00:15:36,1.044,,,1
10/15/2009 01:15:36,1.507,,,1
10/15/2009 02:15:36,1.561,,,1
10/15/2009 03:15:36,1.751,,,1
10/15/2009 04:15:36,1.913,,,1
10/15/2009 05:15:36,1.832,,,1
10/15/2009 06:15:36,1.615,,,1
10/15/2009 07:15:36,1.561,,,1
10/15/2009 08:15:36,1.153,,,1
10/15/2009 09:15:36,1.697,,,1
10/15/2009 10:15:36,3.274,,,1
10/15/2009 11:15:36,4.141,,,1
10/15/2009 12:15:36,5.05,,,1
10/15/2009 13:15:36,6.051,,,1
10/15/2009 14:15:36,6.712,,,1
10/15/2009 15:15:36,5.847,,,1
10/15/2009 16:15:36,5.949,,,1
10/15/2009 17:15:36,5.821,,,1
10/15/2009 18:15:36,6.153,,,1
10/15/2009 19:15:36,6.306,,,1
10/15/2009 20:15:36,6.737,,,1
10/15/2009 21:15:36,7.041,,,1
10/15/2009 22:15:36,7.469,,,1
10/15/2009 23:15:36,7.015,,,1
10/16/2009 00:15:36,7.015,,,1
10/16/2009 01:15:36,7.091,,,1
10/16/2009 02:15:36,7.745,,,1
10/16/2009 03:15:36,8.742,,,1
10/16/2009 04:15:36,8.965,,,1
10/16/2009 05:15:36,9.632,,,1
10/16/2009 06:15:36,10.296,,,1
10/16/2009 07:15:36,8.941,,,1
10/16/2009 08:15:36,9.213,,,1
10/16/2009 09:15:36,8.916,,,1
10/16/2009 10:15:36,8.717,,,1
10/16/2009 11:15:36,8.469,,,1
10/16/2009 12:15:36,8.568,,,1
10/16/2009 13:15:36,8.643,,,1
10/16/2009 14:15:36,8.891,,,1
10/16/2009 15:15:36,9.114,,,1
10/16/2009 16:15:36,9.312,,,1
10/16/2009 17:15:36,9.41,,,1
10/16/2009 18:15:36,9.509,,,1
10/16/2009 19:15:36,9.361,,,1
10/16/2009 20:15:36,8.742,,,1
10/16/2009 21:15:36,8.469,,,1
10/16/2009 22:15:36,8.618,,,1
10/16/2009 23:15:36,9.064,,,1
10/17/2009 00:15:36,8.742,,,1
10/17/2009 01:15:36,8.419,,,1
10/17/2009 02:15:36,7.97,,,1
10/17/2009 03:15:36,7.444,,,1
10/17/2009 04:15:36,7.594,,,1
10/17/2009 05:15:36,8.419,,,1
10/17/2009 06:15:36,8.095,,,1
10/17/2009 07:15:36,7.695,,,1
10/17/2009 08:15:36,7.469,,,1
10/17/2009 09:15:36,7.619,,,1
10/17/2009 10:15:36,7.92,,,1
10/17/2009 11:15:36,7.318,,,1
10/17/2009 12:15:36,7.192,,,1
10/17/2009 13:15:36,6.813,,,1
10/17/2009 14:15:36,6.357,,,1
10/17/2009 15:15:36,5.591,,,1
10/17/2009 16:15:36,4.48,,,1
10/17/2009 17:15:36,3.327,,,1
10/17/2009 18:15:36,3.195,,,1
10/17/2009 19:15:36,3.274,,,1
10/17/2009 20:15:36,3.301,,,1
10/17/2009 21:15:36,3.38,,,1
10/17/2009 22:15:36,3.67,,,1
10/17/2009 23:15:36,4.168,,,1
10/18/2009 00:15:36,4.063,,,1
10/18/2009 01:15:36,3.696,,,1
10/18/2009 02:15:36,3.38,,,1
10/18/2009 03:15:36,3.327,,,1
10/18/2009 04:15:36,3.142,,,1
10/18/2009 05:15:36,2.956,,,1
10/18/2009 06:15:36,2.423,,,1
10/18/2009 07:15:36,1.099,,,1
10/18/2009 08:15:36,1.534,,,1
10/18/2009 09:15:36,1.751,,,1
10/18/2009 10:15:36,2.128,,,1
10/18/2009 11:15:36,2.823,,,1
10/18/2009 12:15:36,4.558,,,1
10/18/2009 13:15:36,5.565,,,1
10/18/2009 14:15:36,6.077,,,1
10/18/2009 15:15:36,6,,,1
10/18/2009 16:15:36,4.844,,,1
10/18/2009 17:15:36,4.22,,,1
10/18/2009 18:15:36,3.564,,,1
10/18/2009 19:15:36,3.221,,,1
10/18/2009 20:15:36,2.983,,,1
10/18/2009 21:15:36,2.637,,,1
10/18/2009 22:15:36,1.832,,,1
10/18/2009 23:15:36,1.289,,,1
10/19/2009 00:15:36,0.934,,,1
10/19/2009 01:15:36,0.934,,,1
10/19/2009 02:15:36,2.236,,,1
10/19/2009 03:15:36,2.557,,,1
10/19/2009 04:15:36,2.128,,,1
10/19/2009 05:15:36,0.439,,,1
10/19/2009 06:15:36,0.19,,,1
10/19/2009 07:15:36,-0.423,,,1
10/19/2009 08:15:36,-0.563,,,1
10/19/2009 09:15:36,1.913,,,1
10/19/2009 10:15:36,3.009,,,1
10/19/2009 11:15:36,3.459,,,1
10/19/2009 12:15:36,4.011,,,1
10/19/2009 13:15:36,5.719,,,1
10/19/2009 14:15:36,6.281,,,1
10/19/2009 15:15:36,5.872,,,1
