,Water Temp.Bottom@OLYM_CZY,Water Temp.Bottom@OLYM_CZY,Water Temp.Bottom@OLYM_CZY,Water Temp.Bottom@OLYM_CZY
09/01/2010 09:05:34,8.891,,,1
09/01/2010 10:05:35,8.941,,,1
09/01/2010 11:05:36,9.015,,,1
09/01/2010 12:05:37,9.114,,,1
09/01/2010 13:05:38,9.163,,,1
09/01/2010 14:05:39,9.064,,,1
09/01/2010 15:05:40,9.064,,,1
09/01/2010 16:05:41,9.114,,,1
09/01/2010 17:05:42,9.089,,,1
09/01/2010 18:05:43,9.114,,,1
09/01/2010 19:05:44,9.089,,,1
09/01/2010 20:05:45,9.089,,,1
09/01/2010 21:05:46,9.089,,,1
09/01/2010 22:05:47,9.089,,,1
09/01/2010 23:05:48,9.089,,,1
09/02/2010 00:05:49,9.089,,,1
09/02/2010 01:05:50,9.089,,,1
09/02/2010 02:05:51,9.064,,,1
09/02/2010 03:05:52,9.064,,,1
09/02/2010 04:05:53,9.064,,,1
09/02/2010 05:05:54,9.064,,,1
09/02/2010 06:05:55,9.064,,,1
09/02/2010 07:05:56,9.015,,,1
09/02/2010 08:05:57,9.064,,,1
09/02/2010 09:05:58,9.114,,,1
09/02/2010 10:05:59,9.139,,,1
09/02/2010 11:06:00,9.163,,,1
09/02/2010 12:06:01,9.213,,,1
09/02/2010 13:06:02,9.312,,,1
09/02/2010 14:06:03,9.336,,,1
09/02/2010 15:06:04,9.41,,,1
09/02/2010 16:06:05,9.336,,,1
09/02/2010 17:06:06,9.336,,,1
09/02/2010 18:06:07,9.312,,,1
09/02/2010 19:06:08,9.312,,,1
09/02/2010 20:06:09,9.312,,,1
09/02/2010 21:06:10,9.312,,,1
09/02/2010 22:06:11,9.312,,,1
09/02/2010 23:06:12,9.312,,,1
09/03/2010 00:06:13,9.312,,,1
09/03/2010 01:06:14,9.287,,,1
09/03/2010 02:06:15,9.287,,,1
09/03/2010 03:06:16,9.312,,,1
09/03/2010 04:06:17,9.312,,,1
09/03/2010 05:06:18,9.287,,,1
09/03/2010 06:06:19,9.287,,,1
09/03/2010 07:06:20,9.312,,,1
09/03/2010 08:06:21,9.262,,,1
09/03/2010 09:06:22,9.361,,,1
09/03/2010 10:06:23,9.386,,,1
09/03/2010 11:06:24,9.46,,,1
09/03/2010 12:06:25,9.46,,,1
09/03/2010 13:06:26,9.583,,,1
09/03/2010 14:06:27,9.608,,,1
09/03/2010 15:06:28,9.608,,,1
09/03/2010 16:06:29,9.608,,,1
09/03/2010 17:06:30,9.534,,,1
09/03/2010 18:06:31,9.534,,,1
09/03/2010 19:06:32,9.534,,,1
09/03/2010 20:06:33,9.558,,,1
09/03/2010 21:06:34,9.534,,,1
09/03/2010 22:06:35,9.558,,,1
09/03/2010 23:06:36,9.509,,,1
09/04/2010 00:06:37,9.534,,,1
09/04/2010 01:06:38,9.534,,,1
09/04/2010 02:06:39,9.509,,,1
09/04/2010 03:06:40,9.509,,,1
09/04/2010 04:06:41,9.509,,,1
09/04/2010 05:06:42,9.534,,,1
09/04/2010 06:06:43,9.509,,,1
09/04/2010 07:06:44,9.534,,,1
09/04/2010 08:06:45,9.509,,,1
09/04/2010 09:06:46,9.558,,,1
09/04/2010 10:06:47,9.583,,,1
09/04/2010 11:06:48,9.657,,,1
09/04/2010 12:06:49,9.731,,,1
09/04/2010 13:06:50,9.731,,,1
09/04/2010 14:06:51,9.756,,,1
09/04/2010 15:06:52,9.879,,,1
09/04/2010 16:06:53,9.829,,,1
09/04/2010 17:06:54,9.805,,,1
09/04/2010 18:06:55,9.78,,,1
09/04/2010 19:06:56,9.78,,,1
09/04/2010 20:06:57,9.78,,,1
09/04/2010 21:06:58,9.78,,,1
09/04/2010 22:06:59,9.805,,,1
09/04/2010 23:07:00,9.78,,,1
09/05/2010 00:07:01,9.78,,,1
09/05/2010 01:07:02,9.731,,,1
09/05/2010 02:07:03,9.756,,,1
09/05/2010 03:07:04,9.731,,,1
09/05/2010 04:07:05,9.756,,,1
09/05/2010 05:07:06,9.706,,,1
09/05/2010 06:07:07,9.706,,,1
09/05/2010 07:07:08,9.756,,,1
09/05/2010 08:07:09,9.706,,,1
09/05/2010 09:07:10,9.756,,,1
09/05/2010 10:07:11,9.756,,,1
09/05/2010 11:07:12,9.78,,,1
09/05/2010 12:07:13,9.805,,,1
09/05/2010 13:07:14,9.829,,,1
09/05/2010 14:07:15,9.805,,,1
09/05/2010 15:07:16,9.829,,,1
09/05/2010 16:07:17,9.829,,,1
09/05/2010 17:07:18,9.829,,,1
09/05/2010 18:07:19,9.829,,,1
09/05/2010 19:07:20,9.805,,,1
09/05/2010 20:07:21,9.829,,,1
09/05/2010 21:07:22,9.805,,,1
09/05/2010 22:07:23,9.805,,,1
09/05/2010 23:07:24,9.805,,,1
09/06/2010 00:07:25,9.805,,,1
09/06/2010 01:07:26,9.805,,,1
09/06/2010 02:07:27,9.805,,,1
09/06/2010 03:07:28,9.731,,,1
09/06/2010 04:07:29,9.731,,,1
09/06/2010 05:07:30,9.731,,,1
09/06/2010 06:07:31,9.731,,,1
09/06/2010 07:07:32,9.682,,,1
09/06/2010 08:07:33,9.756,,,1
09/06/2010 09:07:34,9.805,,,1
09/06/2010 10:07:35,9.829,,,1
09/06/2010 11:07:36,9.805,,,1
09/06/2010 12:07:37,9.756,,,1
09/06/2010 13:07:38,9.731,,,1
09/06/2010 14:07:39,9.731,,,1
09/06/2010 15:07:40,9.78,,,1
09/06/2010 16:07:41,9.805,,,1
09/06/2010 17:07:42,9.78,,,1
09/06/2010 18:07:43,9.78,,,1
09/06/2010 19:07:44,9.756,,,1
09/06/2010 20:07:45,9.731,,,1
09/06/2010 21:07:46,9.731,,,1
09/06/2010 22:07:47,9.731,,,1
09/06/2010 23:07:48,9.682,,,1
09/07/2010 00:07:49,9.608,,,1
09/07/2010 01:07:50,9.583,,,1
09/07/2010 02:07:51,9.583,,,1
09/07/2010 03:07:52,9.509,,,1
09/07/2010 04:07:53,9.46,,,1
09/07/2010 05:07:54,9.435,,,1
09/07/2010 06:07:55,9.435,,,1
09/07/2010 07:07:56,9.435,,,1
09/07/2010 08:07:57,9.435,,,1
09/07/2010 09:07:58,9.41,,,1
09/07/2010 10:07:59,9.41,,,1
09/07/2010 11:08:00,9.46,,,1
09/07/2010 12:08:01,9.46,,,1
09/07/2010 13:08:02,9.534,,,1
09/07/2010 14:08:03,9.509,,,1
09/07/2010 15:08:04,9.534,,,1
09/07/2010 16:08:05,9.485,,,1
09/07/2010 17:08:06,9.46,,,1
09/07/2010 18:08:07,9.485,,,1
09/07/2010 19:08:08,9.485,,,1
09/07/2010 20:08:09,9.46,,,1
09/07/2010 21:08:10,9.485,,,1
09/07/2010 22:08:11,9.485,,,1
09/07/2010 23:08:12,9.46,,,1
09/08/2010 00:08:13,9.46,,,1
09/08/2010 01:08:14,9.46,,,1
09/08/2010 02:08:15,9.46,,,1
09/08/2010 03:08:16,9.46,,,1
09/08/2010 04:08:17,9.46,,,1
09/08/2010 05:08:18,9.435,,,1
09/08/2010 06:08:19,9.386,,,1
09/08/2010 07:08:20,9.386,,,1
09/08/2010 08:08:21,9.41,,,1
09/08/2010 09:08:22,9.41,,,1
09/08/2010 10:08:23,9.435,,,1
09/08/2010 11:08:24,9.41,,,1
09/08/2010 12:08:25,9.41,,,1
09/08/2010 13:08:26,9.435,,,1
09/08/2010 14:08:27,9.485,,,1
09/08/2010 15:08:28,9.509,,,1
09/08/2010 16:08:29,9.485,,,1
09/08/2010 17:08:30,9.46,,,1
09/08/2010 18:08:31,9.485,,,1
09/08/2010 19:08:32,9.485,,,1
09/08/2010 20:08:33,9.485,,,1
09/08/2010 21:08:34,9.46,,,1
09/08/2010 22:08:35,9.46,,,1
09/08/2010 23:08:36,9.46,,,1
09/09/2010 00:08:37,9.46,,,1
09/09/2010 01:08:38,9.46,,,1
09/09/2010 02:08:39,9.46,,,1
09/09/2010 03:08:40,9.41,,,1
09/09/2010 04:08:41,9.386,,,1
09/09/2010 05:08:42,9.41,,,1
09/09/2010 06:08:43,9.361,,,1
09/09/2010 07:08:44,9.361,,,1
09/09/2010 08:08:45,9.386,,,1
09/09/2010 09:08:46,9.41,,,1
09/09/2010 10:08:47,9.46,,,1
09/09/2010 11:08:48,9.336,,,1
09/09/2010 12:08:49,9.386,,,1
09/09/2010 13:08:50,9.435,,,1
09/09/2010 14:08:51,9.41,,,1
09/09/2010 15:08:52,9.41,,,1
09/09/2010 16:08:53,9.485,,,1
09/09/2010 17:08:54,9.435,,,1
09/09/2010 18:08:55,9.46,,,1
09/09/2010 19:08:56,9.435,,,1
09/09/2010 20:08:57,9.41,,,1
09/09/2010 21:08:58,9.41,,,1
09/09/2010 22:08:59,9.386,,,1
09/09/2010 23:09:00,9.41,,,1
09/10/2010 00:09:01,9.435,,,1
09/10/2010 01:09:02,9.336,,,1
09/10/2010 02:09:03,9.361,,,1
09/10/2010 03:09:04,9.312,,,1
09/10/2010 04:09:05,9.312,,,1
09/10/2010 05:09:06,9.312,,,1
09/10/2010 06:09:07,9.262,,,1
09/10/2010 07:09:08,9.262,,,1
09/10/2010 08:09:09,9.262,,,1
09/10/2010 09:09:10,9.287,,,1
09/10/2010 10:09:11,9.238,,,1
09/10/2010 11:09:12,9.262,,,1
09/10/2010 12:09:13,9.262,,,1
09/10/2010 13:09:14,9.287,,,1
09/10/2010 14:09:15,9.312,,,1
09/10/2010 15:09:16,9.361,,,1
09/10/2010 16:09:17,9.312,,,1
09/10/2010 17:09:18,9.312,,,1
09/10/2010 18:09:19,9.312,,,1
09/10/2010 19:09:20,9.312,,,1
09/10/2010 20:09:21,9.312,,,1
09/10/2010 21:09:22,9.312,,,1
09/10/2010 22:09:23,9.287,,,1
09/10/2010 23:09:24,9.287,,,1
09/11/2010 00:09:25,9.287,,,1
09/11/2010 01:09:26,9.238,,,1
09/11/2010 02:09:27,9.163,,,1
09/11/2010 03:09:28,9.163,,,1
09/11/2010 04:09:29,9.188,,,1
09/11/2010 05:09:30,9.163,,,1
09/11/2010 06:09:31,9.163,,,1
09/11/2010 07:09:32,9.089,,,1
09/11/2010 08:09:33,9.064,,,1
09/11/2010 09:09:34,9.114,,,1
09/11/2010 10:09:35,9.163,,,1
09/11/2010 11:09:36,9.163,,,1
09/11/2010 12:09:37,9.238,,,1
09/11/2010 13:09:38,9.188,,,1
09/11/2010 14:09:39,9.238,,,1
09/11/2010 15:09:40,9.213,,,1
09/11/2010 16:09:41,9.238,,,1
09/11/2010 17:09:42,9.213,,,1
09/11/2010 18:09:43,9.213,,,1
09/11/2010 19:09:44,9.238,,,1
09/11/2010 20:09:45,9.188,,,1
09/11/2010 21:09:46,9.213,,,1
09/11/2010 22:09:47,9.213,,,1
09/11/2010 23:09:48,9.213,,,1
09/12/2010 00:09:49,9.213,,,1
09/12/2010 01:09:50,9.188,,,1
09/12/2010 02:09:51,9.163,,,1
09/12/2010 03:09:52,9.188,,,1
09/12/2010 04:09:53,9.213,,,1
09/12/2010 05:09:54,9.213,,,1
09/12/2010 06:09:55,9.163,,,1
09/12/2010 07:09:56,9.163,,,1
09/12/2010 08:09:57,9.163,,,1
09/12/2010 09:09:58,9.188,,,1
09/12/2010 10:09:59,9.163,,,1
09/12/2010 11:10:00,9.188,,,1
09/12/2010 12:10:01,9.188,,,1
09/12/2010 13:10:02,9.213,,,1
09/12/2010 14:10:03,9.213,,,1
09/12/2010 15:10:04,9.262,,,1
09/12/2010 16:10:05,9.213,,,1
09/12/2010 17:10:06,9.188,,,1
09/12/2010 18:10:07,9.188,,,1
09/12/2010 19:10:08,9.163,,,1
09/12/2010 20:10:09,9.163,,,1
09/12/2010 21:10:10,9.188,,,1
09/12/2010 22:10:11,9.089,,,1
09/12/2010 23:10:12,9.163,,,1
09/13/2010 00:10:13,9.163,,,1
09/13/2010 01:10:14,9.04,,,1
09/13/2010 02:10:15,9.04,,,1
09/13/2010 03:10:16,9.064,,,1
09/13/2010 04:10:17,9.04,,,1
09/13/2010 05:10:18,9.015,,,1
09/13/2010 06:10:19,8.965,,,1
09/13/2010 07:10:20,8.941,,,1
09/13/2010 08:10:21,8.941,,,1
09/13/2010 09:10:22,8.99,,,1
09/13/2010 10:10:23,9.015,,,1
09/13/2010 11:10:24,9.114,,,1
09/13/2010 12:10:25,9.213,,,1
09/13/2010 13:10:26,9.213,,,1
09/13/2010 14:10:27,9.213,,,1
09/13/2010 15:10:28,9.262,,,1
09/13/2010 16:10:29,9.287,,,1
09/13/2010 17:10:30,9.213,,,1
09/13/2010 18:10:31,9.213,,,1
09/13/2010 19:10:32,9.213,,,1
09/13/2010 20:10:33,9.188,,,1
09/13/2010 21:10:34,9.188,,,1
09/13/2010 22:10:35,9.238,,,1
09/13/2010 23:10:36,9.188,,,1
09/14/2010 00:10:37,9.188,,,1
09/14/2010 01:10:38,9.188,,,1
09/14/2010 02:10:39,9.213,,,1
09/14/2010 03:10:40,9.188,,,1
09/14/2010 04:10:41,9.188,,,1
09/14/2010 05:10:42,9.163,,,1
09/14/2010 06:10:43,9.163,,,1
09/14/2010 07:10:44,9.163,,,1
09/14/2010 08:10:45,9.163,,,1
09/14/2010 09:10:46,9.238,,,1
09/14/2010 10:10:47,9.262,,,1
09/14/2010 11:10:48,9.262,,,1
09/14/2010 12:10:49,9.386,,,1
09/14/2010 13:10:50,9.41,,,1
09/14/2010 14:10:51,9.46,,,1
09/14/2010 15:10:52,9.509,,,1
09/14/2010 16:10:53,9.41,,,1
09/14/2010 17:10:54,9.386,,,1
09/14/2010 18:10:55,9.386,,,1
